"region Geographic indicator"
,Frequency,Percent,Valid Percent
3 Neutral,1092,21.84,21.84
2 Somewhat dissatisfied,1041,20.82,20.82
4 Somewhat satisfied,1014,20.28,20.28
1 Highly dissatisfied,967,19.34,19.34
5 Highly satisfied,886,17.72,17.72
Total,5000,100.0,

"marital Marital status"
,Frequency,Percent,Valid Percent
0 Unmarried,2559,51.18,51.18
1 Married,2441,48.82,48.82
Total,5000,100.0,

"spoused Spouse years of education"
,Frequency,Percent,Valid Percent
-1 Not married,2559,51.18,51.18
13.0,276,5.52,5.52
14.0,271,5.42,5.42
15.0,260,5.2,5.2
12.0,259,5.18,5.18
16.0,256,5.12,5.12
11.0,240,4.8,4.8
17.0,188,3.76,3.76
10.0,143,2.86,2.86
18.0,117,2.34,2.34
9.0,104,2.08,2.08
19.0,99,1.98,1.98
8.0,68,1.36,1.36
20.0,57,1.14,1.14
7.0,36,0.72,0.72
21.0,21,0.42,0.42
22.0,15,0.3,0.3
6.0,13,0.26,0.26
23.0,10,0.2,0.2
5.0,4,0.08,0.08
24.0,3,0.06,0.06
3.0,1,0.02,0.02
Total,5000,100.0,

"spousedcat Spouse level of education"
,Frequency,Percent,Valid Percent
-1 Not married,2559,51.18,51.18
2 High school degree,806,16.12,16.12
1 Did not complete high school,609,12.18,12.18
3 Some college,516,10.32,10.32
4 College degree,404,8.08,8.08
5 Post-undergraduate degree,106,2.12,2.12
Total,5000,100.0,

"homeown Home ownership"
,Frequency,Percent,Valid Percent
1 Own,3154,63.08,63.08
0 Rent,1846,36.92,36.92
Total,5000,100.0,

"hometype Building type"
,Frequency,Percent,Valid Percent
1 Single-family,2246,44.92,44.92
2 Multiple-Family,1554,31.08,31.08
3 Condominium/Townhouse,908,18.16,18.16
4 Mobile Home,292,5.84,5.84
Total,5000,100.0,

"addresscat Years at current address"
,Frequency,Percent,Valid Percent
3 8 to 15,1204,24.08,24.08
4 16 to 25,1159,23.18,23.18
5 More than 25,1151,23.02,23.02
2 4 to 7,879,17.58,17.58
1 Less than 3,607,12.14,12.14
Total,5000,100.0,

"carown Primary vehicle lease/own"
,Frequency,Percent,Valid Percent
1 Own,3731,74.62,74.62
0 Lease,777,15.54,15.54
-1 N/A,492,9.84,9.84
Total,5000,100.0,

"cartype Primary vehicle domestic/import"
,Frequency,Percent,Valid Percent
0 Domestic,2278,45.56,45.56
1 Import,2230,44.6,44.6
-1 N/A,492,9.84,9.84
Total,5000,100.0,

"carvalue Primary vehicle sticker price"
,Frequency,Percent,Valid Percent
-1 N/A,492,9.84,9.84
9.8,28,0.56,0.56
10.200000000000001,26,0.52,0.52
9.200000000000001,24,0.48,0.48
6.300000000000001,23,0.46,0.46
9.9,23,0.46,0.46
11.4,23,0.46,0.46
13.0,22,0.44,0.44
9.3,22,0.44,0.44
10.0,21,0.42,0.42
11.5,21,0.42,0.42
15.8,21,0.42,0.42
13.4,21,0.42,0.42
12.8,21,0.42,0.42
13.5,21,0.42,0.42
7.0,21,0.42,0.42
9.1,21,0.42,0.42
16.3,20,0.4,0.4
14.3,20,0.4,0.4
11.9,20,0.4,0.4
17.5,20,0.4,0.4
15.4,20,0.4,0.4
13.700000000000001,20,0.4,0.4
16.8,20,0.4,0.4
11.0,20,0.4,0.4
5.6000000000000005,19,0.38,0.38
11.8,19,0.38,0.38
13.600000000000001,19,0.38,0.38
12.100000000000001,19,0.38,0.38
16.1,19,0.38,0.38
9.700000000000001,19,0.38,0.38
18.8,19,0.38,0.38
9.5,19,0.38,0.38
8.700000000000001,19,0.38,0.38
17.900000000000002,18,0.36,0.36
7.5,18,0.36,0.36
8.8,18,0.36,0.36
7.1000000000000005,18,0.36,0.36
12.5,18,0.36,0.36
9.0,18,0.36,0.36
13.9,18,0.36,0.36
10.5,18,0.36,0.36
10.4,18,0.36,0.36
8.200000000000001,18,0.36,0.36
11.100000000000001,17,0.34,0.34
6.6000000000000005,17,0.34,0.34
17.0,17,0.34,0.34
11.700000000000001,17,0.34,0.34
15.600000000000001,17,0.34,0.34
10.600000000000001,17,0.34,0.34
13.100000000000001,17,0.34,0.34
14.5,17,0.34,0.34
14.0,17,0.34,0.34
16.5,17,0.34,0.34
9.600000000000001,17,0.34,0.34
12.9,17,0.34,0.34
15.5,17,0.34,0.34
15.200000000000001,17,0.34,0.34
14.9,17,0.34,0.34
18.2,16,0.32,0.32
8.0,16,0.32,0.32
8.5,16,0.32,0.32
12.3,16,0.32,0.32
8.3,16,0.32,0.32
10.3,16,0.32,0.32
9.4,16,0.32,0.32
11.600000000000001,16,0.32,0.32
13.8,16,0.32,0.32
4.2,15,0.3,0.3
6.2,15,0.3,0.3
15.100000000000001,15,0.3,0.3
18.6,15,0.3,0.3
5.5,15,0.3,0.3
7.300000000000001,15,0.3,0.3
19.900000000000002,15,0.3,0.3
13.3,15,0.3,0.3
10.8,15,0.3,0.3
18.900000000000002,15,0.3,0.3
17.3,15,0.3,0.3
24.6,15,0.3,0.3
17.8,15,0.3,0.3
19.700000000000003,15,0.3,0.3
19.1,15,0.3,0.3
24.0,15,0.3,0.3
5.800000000000001,15,0.3,0.3
12.4,14,0.28,0.28
5.4,14,0.28,0.28
17.1,14,0.28,0.28
17.6,14,0.28,0.28
7.4,14,0.28,0.28
6.0,14,0.28,0.28
19.6,14,0.28,0.28
19.200000000000003,14,0.28,0.28
21.400000000000002,13,0.26,0.26
8.1,13,0.26,0.26
7.6000000000000005,13,0.26,0.26
19.8,13,0.26,0.26
16.6,13,0.26,0.26
10.9,13,0.26,0.26
23.8,13,0.26,0.26
27.0,13,0.26,0.26
5.7,13,0.26,0.26
21.0,13,0.26,0.26
6.4,13,0.26,0.26
11.3,13,0.26,0.26
16.7,13,0.26,0.26
7.9,13,0.26,0.26
10.100000000000001,13,0.26,0.26
12.0,13,0.26,0.26
14.200000000000001,13,0.26,0.26
22.200000000000003,13,0.26,0.26
10.700000000000001,12,0.24,0.24
14.600000000000001,12,0.24,0.24
14.4,12,0.24,0.24
4.5,12,0.24,0.24
5.2,12,0.24,0.24
7.2,12,0.24,0.24
8.6,12,0.24,0.24
15.9,12,0.24,0.24
4.800000000000001,12,0.24,0.24
21.5,12,0.24,0.24
21.200000000000003,12,0.24,0.24
19.400000000000002,12,0.24,0.24
17.2,12,0.24,0.24
8.9,12,0.24,0.24
8.4,12,0.24,0.24
6.800000000000001,12,0.24,0.24
16.2,11,0.22,0.22
20.0,11,0.22,0.22
19.0,11,0.22,0.22
13.200000000000001,11,0.22,0.22
22.400000000000002,11,0.22,0.22
22.6,11,0.22,0.22
23.400000000000002,11,0.22,0.22
28.200000000000003,11,0.22,0.22
5.0,11,0.22,0.22
35.0,11,0.22,0.22
31.1,11,0.22,0.22
6.5,11,0.22,0.22
18.5,11,0.22,0.22
23.5,11,0.22,0.22
35.4,11,0.22,0.22
23.900000000000002,11,0.22,0.22
4.9,11,0.22,0.22
5.9,11,0.22,0.22
18.0,11,0.22,0.22
33.2,11,0.22,0.22
4.7,11,0.22,0.22
12.200000000000001,11,0.22,0.22
26.0,11,0.22,0.22
7.800000000000001,11,0.22,0.22
37.7,10,0.2,0.2
31.6,10,0.2,0.2
17.400000000000002,10,0.2,0.2
18.400000000000002,10,0.2,0.2
20.3,10,0.2,0.2
18.7,10,0.2,0.2
14.100000000000001,10,0.2,0.2
16.400000000000002,10,0.2,0.2
21.1,10,0.2,0.2
17.7,10,0.2,0.2
15.3,10,0.2,0.2
20.6,10,0.2,0.2
30.0,10,0.2,0.2
24.700000000000003,10,0.2,0.2
12.700000000000001,10,0.2,0.2
16.900000000000002,10,0.2,0.2
23.200000000000003,10,0.2,0.2
26.3,10,0.2,0.2
14.700000000000001,10,0.2,0.2
5.1000000000000005,10,0.2,0.2
20.900000000000002,10,0.2,0.2
25.700000000000003,9,0.18,0.18
27.5,9,0.18,0.18
20.1,9,0.18,0.18
44.400000000000006,9,0.18,0.18
12.600000000000001,9,0.18,0.18
28.0,9,0.18,0.18
19.5,9,0.18,0.18
4.3,9,0.18,0.18
23.1,9,0.18,0.18
22.8,9,0.18,0.18
27.900000000000002,9,0.18,0.18
22.900000000000002,9,0.18,0.18
24.3,9,0.18,0.18
24.5,9,0.18,0.18
18.1,9,0.18,0.18
20.700000000000003,9,0.18,0.18
11.200000000000001,9,0.18,0.18
27.700000000000003,9,0.18,0.18
25.400000000000002,9,0.18,0.18
6.1000000000000005,9,0.18,0.18
4.4,9,0.18,0.18
25.6,9,0.18,0.18
20.200000000000003,8,0.16,0.16
6.7,8,0.16,0.16
21.700000000000003,8,0.16,0.16
30.200000000000003,8,0.16,0.16
28.1,8,0.16,0.16
29.5,8,0.16,0.16
18.3,8,0.16,0.16
34.2,8,0.16,0.16
28.6,8,0.16,0.16
22.0,8,0.16,0.16
5.300000000000001,8,0.16,0.16
35.1,8,0.16,0.16
7.7,8,0.16,0.16
26.1,8,0.16,0.16
28.700000000000003,8,0.16,0.16
23.0,8,0.16,0.16
20.400000000000002,8,0.16,0.16
28.3,8,0.16,0.16
23.6,8,0.16,0.16
19.3,8,0.16,0.16
20.5,8,0.16,0.16
3.8000000000000003,8,0.16,0.16
21.6,8,0.16,0.16
4.6000000000000005,8,0.16,0.16
32.300000000000004,7,0.14,0.14
29.0,7,0.14,0.14
32.0,7,0.14,0.14
23.3,7,0.14,0.14
22.1,7,0.14,0.14
28.400000000000002,7,0.14,0.14
36.6,7,0.14,0.14
25.5,7,0.14,0.14
27.200000000000003,7,0.14,0.14
26.5,7,0.14,0.14
34.9,7,0.14,0.14
38.400000000000006,7,0.14,0.14
24.900000000000002,7,0.14,0.14
32.6,7,0.14,0.14
30.8,7,0.14,0.14
24.1,7,0.14,0.14
15.700000000000001,7,0.14,0.14
25.0,7,0.14,0.14
29.1,7,0.14,0.14
15.0,7,0.14,0.14
37.300000000000004,7,0.14,0.14
24.400000000000002,7,0.14,0.14
25.3,7,0.14,0.14
35.800000000000004,7,0.14,0.14
27.400000000000002,7,0.14,0.14
31.8,7,0.14,0.14
30.900000000000002,7,0.14,0.14
26.900000000000002,7,0.14,0.14
33.4,7,0.14,0.14
6.9,6,0.12,0.12
14.8,6,0.12,0.12
3.9000000000000004,6,0.12,0.12
26.700000000000003,6,0.12,0.12
29.6,6,0.12,0.12
45.0,6,0.12,0.12
27.3,6,0.12,0.12
21.900000000000002,6,0.12,0.12
39.400000000000006,6,0.12,0.12
33.6,6,0.12,0.12
25.200000000000003,6,0.12,0.12
39.300000000000004,6,0.12,0.12
31.3,6,0.12,0.12
30.6,6,0.12,0.12
40.1,6,0.12,0.12
25.900000000000002,6,0.12,0.12
41.1,6,0.12,0.12
31.900000000000002,6,0.12,0.12
26.8,6,0.12,0.12
26.6,6,0.12,0.12
29.700000000000003,6,0.12,0.12
36.0,6,0.12,0.12
24.8,6,0.12,0.12
38.1,6,0.12,0.12
27.8,6,0.12,0.12
31.0,6,0.12,0.12
36.4,6,0.12,0.12
47.1,6,0.12,0.12
28.900000000000002,6,0.12,0.12
33.0,6,0.12,0.12
54.2,6,0.12,0.12
25.8,6,0.12,0.12
4.1000000000000005,6,0.12,0.12
40.400000000000006,6,0.12,0.12
31.200000000000003,6,0.12,0.12
36.2,6,0.12,0.12
38.300000000000004,5,0.1,0.1
20.8,5,0.1,0.1
28.5,5,0.1,0.1
35.2,5,0.1,0.1
37.0,5,0.1,0.1
3.5,5,0.1,0.1
45.400000000000006,5,0.1,0.1
48.0,5,0.1,0.1
46.2,5,0.1,0.1
31.5,5,0.1,0.1
27.1,5,0.1,0.1
42.900000000000006,5,0.1,0.1
16.0,5,0.1,0.1
32.4,5,0.1,0.1
21.3,5,0.1,0.1
33.300000000000004,5,0.1,0.1
26.400000000000002,5,0.1,0.1
34.1,5,0.1,0.1
22.5,5,0.1,0.1
22.700000000000003,5,0.1,0.1
40.7,5,0.1,0.1
37.5,5,0.1,0.1
46.5,5,0.1,0.1
46.7,5,0.1,0.1
3.7,5,0.1,0.1
64.60000000000001,5,0.1,0.1
40.2,5,0.1,0.1
39.900000000000006,5,0.1,0.1
38.5,5,0.1,0.1
32.2,5,0.1,0.1
22.3,5,0.1,0.1
27.6,5,0.1,0.1
29.400000000000002,5,0.1,0.1
25.1,5,0.1,0.1
43.6,5,0.1,0.1
29.8,5,0.1,0.1
45.900000000000006,4,0.08,0.08
50.1,4,0.08,0.08
46.1,4,0.08,0.08
49.5,4,0.08,0.08
48.7,4,0.08,0.08
53.900000000000006,4,0.08,0.08
43.800000000000004,4,0.08,0.08
45.6,4,0.08,0.08
43.1,4,0.08,0.08
51.7,4,0.08,0.08
42.0,4,0.08,0.08
44.900000000000006,4,0.08,0.08
98.5,4,0.08,0.08
41.0,4,0.08,0.08
36.300000000000004,4,0.08,0.08
37.2,4,0.08,0.08
39.7,4,0.08,0.08
56.5,4,0.08,0.08
30.3,4,0.08,0.08
40.800000000000004,4,0.08,0.08
37.6,4,0.08,0.08
24.200000000000003,4,0.08,0.08
41.7,4,0.08,0.08
53.2,4,0.08,0.08
54.7,4,0.08,0.08
55.5,4,0.08,0.08
56.2,4,0.08,0.08
71.7,4,0.08,0.08
41.2,4,0.08,0.08
59.5,4,0.08,0.08
45.800000000000004,4,0.08,0.08
38.900000000000006,4,0.08,0.08
34.6,4,0.08,0.08
60.5,4,0.08,0.08
3.6,4,0.08,0.08
55.800000000000004,4,0.08,0.08
37.4,4,0.08,0.08
41.300000000000004,4,0.08,0.08
33.1,4,0.08,0.08
52.2,4,0.08,0.08
79.4,4,0.08,0.08
32.7,4,0.08,0.08
90.7,4,0.08,0.08
86.9,4,0.08,0.08
39.1,4,0.08,0.08
38.800000000000004,4,0.08,0.08
28.8,4,0.08,0.08
81.2,4,0.08,0.08
30.400000000000002,4,0.08,0.08
32.9,4,0.08,0.08
50.800000000000004,4,0.08,0.08
23.700000000000003,4,0.08,0.08
41.6,4,0.08,0.08
40.6,4,0.08,0.08
3.1,4,0.08,0.08
41.5,4,0.08,0.08
34.300000000000004,4,0.08,0.08
26.200000000000003,4,0.08,0.08
36.1,4,0.08,0.08
31.700000000000003,4,0.08,0.08
33.9,4,0.08,0.08
47.800000000000004,4,0.08,0.08
34.0,4,0.08,0.08
33.7,4,0.08,0.08
29.900000000000002,4,0.08,0.08
37.800000000000004,4,0.08,0.08
52.6,4,0.08,0.08
46.900000000000006,3,0.06,0.06
50.7,3,0.06,0.06
42.6,3,0.06,0.06
51.2,3,0.06,0.06
42.5,3,0.06,0.06
32.800000000000004,3,0.06,0.06
49.1,3,0.06,0.06
3.4000000000000004,3,0.06,0.06
56.6,3,0.06,0.06
48.5,3,0.06,0.06
50.5,3,0.06,0.06
71.5,3,0.06,0.06
52.1,3,0.06,0.06
69.60000000000001,3,0.06,0.06
68.60000000000001,3,0.06,0.06
45.7,3,0.06,0.06
34.800000000000004,3,0.06,0.06
30.700000000000003,3,0.06,0.06
80.80000000000001,3,0.06,0.06
49.2,3,0.06,0.06
66.0,3,0.06,0.06
56.7,3,0.06,0.06
43.7,3,0.06,0.06
69.7,3,0.06,0.06
36.5,3,0.06,0.06
67.7,3,0.06,0.06
35.9,3,0.06,0.06
35.7,3,0.06,0.06
88.2,3,0.06,0.06
67.9,3,0.06,0.06
48.400000000000006,3,0.06,0.06
40.300000000000004,3,0.06,0.06
53.7,3,0.06,0.06
38.6,3,0.06,0.06
48.1,3,0.06,0.06
71.0,3,0.06,0.06
29.200000000000003,3,0.06,0.06
62.0,3,0.06,0.06
35.6,3,0.06,0.06
50.6,3,0.06,0.06
37.1,3,0.06,0.06
52.900000000000006,3,0.06,0.06
47.300000000000004,3,0.06,0.06
87.4,3,0.06,0.06
4.0,3,0.06,0.06
55.900000000000006,3,0.06,0.06
47.6,3,0.06,0.06
56.800000000000004,3,0.06,0.06
39.2,3,0.06,0.06
49.0,3,0.06,0.06
78.0,3,0.06,0.06
39.5,3,0.06,0.06
52.7,3,0.06,0.06
36.800000000000004,3,0.06,0.06
32.5,3,0.06,0.06
44.5,3,0.06,0.06
41.400000000000006,3,0.06,0.06
70.0,3,0.06,0.06
50.2,3,0.06,0.06
83.30000000000001,3,0.06,0.06
84.0,3,0.06,0.06
87.7,3,0.06,0.06
41.900000000000006,3,0.06,0.06
60.400000000000006,3,0.06,0.06
79.2,3,0.06,0.06
35.300000000000004,3,0.06,0.06
40.5,3,0.06,0.06
48.6,3,0.06,0.06
92.4,3,0.06,0.06
86.0,3,0.06,0.06
87.10000000000001,3,0.06,0.06
44.7,3,0.06,0.06
49.7,3,0.06,0.06
40.0,3,0.06,0.06
61.900000000000006,3,0.06,0.06
88.80000000000001,3,0.06,0.06
42.1,3,0.06,0.06
89.0,3,0.06,0.06
42.300000000000004,3,0.06,0.06
44.0,3,0.06,0.06
48.300000000000004,3,0.06,0.06
47.400000000000006,2,0.04,0.04
42.2,2,0.04,0.04
65.5,2,0.04,0.04
72.5,2,0.04,0.04
74.9,2,0.04,0.04
89.4,2,0.04,0.04
93.10000000000001,2,0.04,0.04
29.3,2,0.04,0.04
58.400000000000006,2,0.04,0.04
32.1,2,0.04,0.04
75.7,2,0.04,0.04
91.9,2,0.04,0.04
91.10000000000001,2,0.04,0.04
93.9,2,0.04,0.04
63.300000000000004,2,0.04,0.04
88.60000000000001,2,0.04,0.04
94.4,2,0.04,0.04
56.300000000000004,2,0.04,0.04
85.80000000000001,2,0.04,0.04
57.800000000000004,2,0.04,0.04
83.5,2,0.04,0.04
82.80000000000001,2,0.04,0.04
39.800000000000004,2,0.04,0.04
81.10000000000001,2,0.04,0.04
94.2,2,0.04,0.04
97.30000000000001,2,0.04,0.04
55.7,2,0.04,0.04
51.1,2,0.04,0.04
76.0,2,0.04,0.04
52.300000000000004,2,0.04,0.04
60.300000000000004,2,0.04,0.04
70.60000000000001,2,0.04,0.04
38.7,2,0.04,0.04
66.9,2,0.04,0.04
51.900000000000006,2,0.04,0.04
89.30000000000001,2,0.04,0.04
64.9,2,0.04,0.04
62.6,2,0.04,0.04
63.0,2,0.04,0.04
39.0,2,0.04,0.04
43.5,2,0.04,0.04
49.300000000000004,2,0.04,0.04
2.7,2,0.04,0.04
44.300000000000004,2,0.04,0.04
38.0,2,0.04,0.04
37.9,2,0.04,0.04
62.7,2,0.04,0.04
42.400000000000006,2,0.04,0.04
91.60000000000001,2,0.04,0.04
61.0,2,0.04,0.04
34.5,2,0.04,0.04
95.60000000000001,2,0.04,0.04
53.6,2,0.04,0.04
88.5,2,0.04,0.04
94.80000000000001,2,0.04,0.04
58.1,2,0.04,0.04
50.0,2,0.04,0.04
55.300000000000004,2,0.04,0.04
33.5,2,0.04,0.04
34.4,2,0.04,0.04
60.2,2,0.04,0.04
69.2,2,0.04,0.04
57.300000000000004,2,0.04,0.04
46.300000000000004,2,0.04,0.04
35.5,2,0.04,0.04
86.30000000000001,2,0.04,0.04
96.80000000000001,2,0.04,0.04
61.300000000000004,2,0.04,0.04
42.800000000000004,2,0.04,0.04
89.7,2,0.04,0.04
70.9,2,0.04,0.04
65.2,2,0.04,0.04
3.2,2,0.04,0.04
58.2,2,0.04,0.04
52.800000000000004,2,0.04,0.04
47.7,2,0.04,0.04
56.400000000000006,2,0.04,0.04
34.7,2,0.04,0.04
82.30000000000001,2,0.04,0.04
55.400000000000006,2,0.04,0.04
80.7,2,0.04,0.04
33.800000000000004,2,0.04,0.04
43.400000000000006,2,0.04,0.04
59.2,2,0.04,0.04
46.0,2,0.04,0.04
40.900000000000006,2,0.04,0.04
51.5,2,0.04,0.04
76.2,2,0.04,0.04
93.7,2,0.04,0.04
60.900000000000006,2,0.04,0.04
72.0,2,0.04,0.04
31.400000000000002,2,0.04,0.04
81.7,2,0.04,0.04
49.800000000000004,2,0.04,0.04
72.8,2,0.04,0.04
44.2,2,0.04,0.04
61.800000000000004,2,0.04,0.04
21.8,2,0.04,0.04
71.10000000000001,2,0.04,0.04
44.6,2,0.04,0.04
89.10000000000001,2,0.04,0.04
58.900000000000006,2,0.04,0.04
64.10000000000001,2,0.04,0.04
85.10000000000001,2,0.04,0.04
64.5,2,0.04,0.04
89.5,2,0.04,0.04
43.2,2,0.04,0.04
87.60000000000001,2,0.04,0.04
78.30000000000001,2,0.04,0.04
90.30000000000001,2,0.04,0.04
55.6,2,0.04,0.04
49.400000000000006,2,0.04,0.04
45.2,2,0.04,0.04
83.60000000000001,2,0.04,0.04
30.5,2,0.04,0.04
39.6,2,0.04,0.04
74.0,2,0.04,0.04
38.2,2,0.04,0.04
59.900000000000006,2,0.04,0.04
67.0,2,0.04,0.04
54.400000000000006,2,0.04,0.04
60.7,2,0.04,0.04
66.2,2,0.04,0.04
58.6,2,0.04,0.04
67.60000000000001,2,0.04,0.04
48.900000000000006,2,0.04,0.04
93.60000000000001,2,0.04,0.04
81.5,2,0.04,0.04
36.7,2,0.04,0.04
54.300000000000004,2,0.04,0.04
92.2,2,0.04,0.04
73.3,2,0.04,0.04
71.8,2,0.04,0.04
79.10000000000001,2,0.04,0.04
54.900000000000006,2,0.04,0.04
36.9,2,0.04,0.04
43.900000000000006,2,0.04,0.04
80.30000000000001,2,0.04,0.04
91.7,1,0.02,0.02
62.800000000000004,1,0.02,0.02
96.60000000000001,1,0.02,0.02
87.30000000000001,1,0.02,0.02
95.30000000000001,1,0.02,0.02
99.0,1,0.02,0.02
79.0,1,0.02,0.02
46.6,1,0.02,0.02
47.2,1,0.02,0.02
93.4,1,0.02,0.02
71.2,1,0.02,0.02
53.5,1,0.02,0.02
98.2,1,0.02,0.02
75.3,1,0.02,0.02
62.400000000000006,1,0.02,0.02
87.5,1,0.02,0.02
86.80000000000001,1,0.02,0.02
60.1,1,0.02,0.02
70.8,1,0.02,0.02
2.5,1,0.02,0.02
89.9,1,0.02,0.02
86.4,1,0.02,0.02
90.9,1,0.02,0.02
78.60000000000001,1,0.02,0.02
61.400000000000006,1,0.02,0.02
45.1,1,0.02,0.02
87.9,1,0.02,0.02
58.5,1,0.02,0.02
88.4,1,0.02,0.02
86.2,1,0.02,0.02
90.10000000000001,1,0.02,0.02
91.4,1,0.02,0.02
3.3000000000000003,1,0.02,0.02
52.400000000000006,1,0.02,0.02
67.8,1,0.02,0.02
64.0,1,0.02,0.02
65.9,1,0.02,0.02
84.80000000000001,1,0.02,0.02
72.60000000000001,1,0.02,0.02
72.9,1,0.02,0.02
61.5,1,0.02,0.02
90.60000000000001,1,0.02,0.02
95.7,1,0.02,0.02
51.400000000000006,1,0.02,0.02
80.4,1,0.02,0.02
57.900000000000006,1,0.02,0.02
67.2,1,0.02,0.02
68.2,1,0.02,0.02
73.10000000000001,1,0.02,0.02
51.6,1,0.02,0.02
93.30000000000001,1,0.02,0.02
67.5,1,0.02,0.02
71.9,1,0.02,0.02
70.3,1,0.02,0.02
69.8,1,0.02,0.02
75.4,1,0.02,0.02
72.7,1,0.02,0.02
94.10000000000001,1,0.02,0.02
48.800000000000004,1,0.02,0.02
86.5,1,0.02,0.02
57.6,1,0.02,0.02
86.7,1,0.02,0.02
84.2,1,0.02,0.02
44.1,1,0.02,0.02
92.0,1,0.02,0.02
63.7,1,0.02,0.02
77.5,1,0.02,0.02
63.400000000000006,1,0.02,0.02
53.400000000000006,1,0.02,0.02
78.10000000000001,1,0.02,0.02
74.5,1,0.02,0.02
77.9,1,0.02,0.02
65.8,1,0.02,0.02
56.0,1,0.02,0.02
75.8,1,0.02,0.02
74.10000000000001,1,0.02,0.02
73.5,1,0.02,0.02
75.9,1,0.02,0.02
68.4,1,0.02,0.02
53.0,1,0.02,0.02
95.5,1,0.02,0.02
84.7,1,0.02,0.02
84.60000000000001,1,0.02,0.02
55.1,1,0.02,0.02
88.10000000000001,1,0.02,0.02
47.0,1,0.02,0.02
91.0,1,0.02,0.02
90.5,1,0.02,0.02
54.1,1,0.02,0.02
86.60000000000001,1,0.02,0.02
58.0,1,0.02,0.02
92.30000000000001,1,0.02,0.02
50.400000000000006,1,0.02,0.02
50.900000000000006,1,0.02,0.02
54.6,1,0.02,0.02
94.0,1,0.02,0.02
91.5,1,0.02,0.02
50.300000000000004,1,0.02,0.02
98.80000000000001,1,0.02,0.02
59.800000000000004,1,0.02,0.02
99.2,1,0.02,0.02
52.0,1,0.02,0.02
55.2,1,0.02,0.02
88.0,1,0.02,0.02
51.0,1,0.02,0.02
46.800000000000004,1,0.02,0.02
99.60000000000001,1,0.02,0.02
84.10000000000001,1,0.02,0.02
85.4,1,0.02,0.02
58.800000000000004,1,0.02,0.02
2.4000000000000004,1,0.02,0.02
83.7,1,0.02,0.02
80.10000000000001,1,0.02,0.02
70.4,1,0.02,0.02
65.60000000000001,1,0.02,0.02
64.3,1,0.02,0.02
47.5,1,0.02,0.02
65.7,1,0.02,0.02
83.0,1,0.02,0.02
63.2,1,0.02,0.02
77.60000000000001,1,0.02,0.02
76.7,1,0.02,0.02
63.900000000000006,1,0.02,0.02
82.7,1,0.02,0.02
79.30000000000001,1,0.02,0.02
78.80000000000001,1,0.02,0.02
78.7,1,0.02,0.02
85.30000000000001,1,0.02,0.02
61.6,1,0.02,0.02
81.30000000000001,1,0.02,0.02
80.9,1,0.02,0.02
85.7,1,0.02,0.02
