custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
5621-QSZPSF-NF2,4.0,1.0,1.0,59.0,5.0,July,19.0,4.0,1.0,0.0,8.0,3.0,0.0,47.0,3.8501476017100584,2.0,8.6,1.3581119999999998,0.3060954999624963,2.683888,0.987266489475726,0.0,3.0,0.0,-1.0,-1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,3.0,3.0,1.0,0.0,28.0,2.0,0.0,1.0,1.0,1.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,16.0,5.0,1.0,1.0,4.0,0.0,17.0,5.0,11.0,488.97,7.0,322.07,0.0,3.0,50.0,1.0,8.55,2.145931282948669,446.55,6.101551376129895,0.0,0.0,,0.0,,1.0,31.2,3.4404180948154366,1568.35,7.357779390287465,1.0,19.0,2.9444389791664403,930.0,6.835184586147301,0.0,0.0,,0.0,,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8241-PWPONH-62O,2.0,4.0,1.0,33.0,3.0,October,8.0,1.0,2.0,0.0,4.0,2.0,0.0,19.0,2.9444389791664403,1.0,0.8999999999999999,0.130131,-2.0392136435999286,0.04086899999999999,-3.1973834495301037,0.0,4.0,1.0,9.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,2.0,2.0,1.0,1.0,9.3,1.0,0.0,1.0,4.0,3.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,14.0,338.26,2.0,55.17,0.0,3.0,9.0,1.0,3.6,1.2809338454620642,37.0,3.6109179126442243,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8795-FYOXCT-P09,5.0,2.0,0.0,44.0,4.0,March,10.0,1.0,1.0,0.0,12.0,4.0,0.0,73.0,4.290459441148391,3.0,2.8000000000000003,1.250928,0.22388567587164707,0.793072,-0.23184126701740562,0.0,5.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,38.5,2.0,0.0,1.0,1.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,12.0,534.36,5.0,198.39000000000001,0.0,3.0,5.0,0.0,6.75,1.9095425048844386,29.9,3.3978584803966405,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,7.0,1.9459101490553132,30.0,3.4011973816621555,0.0,0.0,,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1705-NMIQNO-IC4,3.0,2.0,0.0,58.0,5.0,January,18.0,4.0,1.0,0.0,3.0,2.0,0.0,63.0,4.143134726391533,3.0,10.5,1.9249649999999996,0.6549077857562743,4.690035,1.5454400451169095,0.0,3.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,32.0,5.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.0,2.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,25.0,5.0,3.0,4.0,1.0,0.0,17.0,5.0,10.0,593.5,5.0,384.94,1.0,1.0,58.0,0.0,12.1,2.4932054526026954,680.75,6.5231951315538685,1.0,30.75,3.4258899942525267,1776.7,7.482512990041861,0.0,0.0,,0.0,,1.0,24.5,3.1986731175506815,1415.0,7.254884810077338,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9205-PAZEXY-90Q,2.0,1.0,1.0,72.0,6.0,December,20.0,5.0,4.0,1.0,27.0,5.0,1.0,17.0,2.833213344056216,1.0,9.8,1.276156,0.24385243450310526,0.3898440000000001,-0.9420086198797845,0.0,4.0,1.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,3.0,1.0,1.0,1.0,9.3,1.0,0.0,0.0,10.0,5.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,33.0,5.0,4.0,4.0,3.0,1.0,26.0,5.0,12.0,233.17000000000002,3.0,39.93,1.0,3.0,67.0,0.0,13.9,2.631888840136646,954.05,6.860716080976351,0.0,0.0,,0.0,,1.0,38.55,3.6519561000093383,2580.75,7.855835333345699,1.0,23.25,3.1463051320333655,1525.0,7.329749689041512,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,24.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4225-PZZDIY-IBH,3.0,1.0,1.0,66.0,6.0,December,13.0,2.0,6.0,1.0,31.0,5.0,1.0,23.0,3.1354942159291497,1.0,9.3,0.934743,-0.06748365378627834,1.2042569999999997,0.18586277925782166,0.0,5.0,1.0,12.0,2.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,29.0,5.0,3.0,1.0,0.0,11.600000000000001,1.0,0.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,40.0,5.0,4.0,2.0,1.0,0.0,30.0,5.0,9.0,297.47,4.0,98.65,0.0,2.0,72.0,0.0,38.7,3.655839600035736,2854.9,7.956792095206974,1.0,27.0,3.295836866004329,1919.0,7.5595594960077,0.0,0.0,,0.0,,1.0,68.5,4.22683374526818,4865.0,8.489821994620105,1.0,43.25,3.7669972333778885,3159.25,8.05808993663879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,22.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0758-EQEGIQ-3OF,1.0,1.0,1.0,57.0,5.0,October,17.0,4.0,4.0,0.0,24.0,5.0,0.0,171.0,5.14166355650266,5.0,9.5,1.803195,0.5895600914512608,14.441805,2.670127125652831,0.0,5.0,1.0,16.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,3.0,2.0,1.0,1.0,75.8,3.0,0.0,1.0,1.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,19.0,5.0,3.0,2.0,4.0,0.0,13.0,4.0,14.0,305.94,4.0,96.23,1.0,3.0,48.0,0.0,4.15,1.423108334242607,214.85,5.3699401102210045,1.0,28.75,3.3586377672433594,1444.65,7.275622356674983,1.0,43.15,3.764682417529437,1990.25,7.596015537968688,1.0,29.25,3.3758795736778655,1315.0,7.181591944611865,1.0,40.2,3.6938669956249757,1840.45,7.517765385919225,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0649-TBFJFL-QU4,5.0,2.0,0.0,63.0,5.0,May,14.0,2.0,6.0,1.0,29.0,5.0,0.0,424.0,6.049733455231958,5.0,10.7,13.111352,2.573478419842022,32.256648,3.4737241615328305,0.0,4.0,1.0,20.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,29.0,5.0,3.0,1.0,0.0,88.60000000000001,3.0,0.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,36.0,5.0,2.0,3.0,3.0,1.0,29.0,5.0,10.0,495.75,10.0,798.3100000000001,0.0,1.0,70.0,0.0,34.8,3.5496173867804286,2540.15,7.839978413387008,1.0,45.25,3.8122026701459353,3165.45,8.060050504566432,0.0,0.0,,0.0,,1.0,19.75,2.9831534913471307,1325.0,7.1891677384203225,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2228-KOLOPU-FY3,5.0,5.0,1.0,28.0,3.0,April,11.0,1.0,1.0,0.0,4.0,2.0,0.0,23.0,3.1354942159291497,1.0,4.8,0.19099200000000002,-1.6555237366294544,0.913008,-0.09101063610354213,0.0,1.0,1.0,12.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,5.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,4.0,3.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,10.0,3.0,3.0,3.0,3.0,0.0,10.0,3.0,17.0,442.09000000000003,7.0,144.69,1.0,1.0,34.0,0.0,3.45,1.2383742310432684,110.45,4.7045629298661265,1.0,33.0,3.4965075614664802,1099.65,7.002747226337705,0.0,0.0,,0.0,,1.0,16.5,2.803360380906535,545.0,6.300785794663244,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3853-NVDCOJ-TIN,1.0,1.0,1.0,78.0,6.0,June,16.0,3.0,1.0,0.0,10.0,3.0,1.0,22.0,3.091042453358316,1.0,15.2,0.6922079999999999,-0.36786879049431287,2.651792,0.9752356378751661,0.0,3.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,5.0,2.0,1.0,1.0,10.8,1.0,0.0,1.0,3.0,2.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,10.0,3.0,3.0,2.0,2.0,0.0,7.0,3.0,1.0,8.11,0.0,0.0,1.0,1.0,14.0,0.0,7.3,1.9878743481543455,85.6,4.449685283147696,0.0,0.0,,0.0,,1.0,24.85,3.2128577525426376,341.75,5.834079475604059,1.0,31.75,3.457892725338701,350.0,5.857933154483459,0.0,0.0,,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0765-UXAFYM-PDR,3.0,3.0,0.0,61.0,5.0,June,16.0,3.0,1.0,0.0,4.0,2.0,0.0,35.0,3.5553480614894135,2.0,10.100000000000001,1.2337150000000001,0.2100299425688263,2.301285,0.8334676625749683,0.0,3.0,1.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,5.0,4.0,0.0,0.0,9.4,1.0,1.0,0.0,1.0,1.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,27.0,5.0,4.0,2.0,3.0,0.0,15.0,4.0,8.0,271.98,7.0,240.38,0.0,3.0,53.0,0.0,11.2,2.4159137783010487,567.05,6.34044748326134,0.0,0.0,,0.0,,0.0,0.0,,0.0,,1.0,9.5,2.2512917986064953,480.0,6.173786103901937,0.0,0.0,,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,25.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
9937-SFPLRK-H9Y,2.0,4.0,0.0,70.0,6.0,September,17.0,4.0,2.0,1.0,2.0,2.0,0.0,28.0,3.332204510175204,2.0,9.3,1.1952360000000002,0.17834365542473107,1.408764,0.34271272421066723,0.0,1.0,1.0,17.0,4.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,14.0,3.0,5.0,1.0,0.0,15.700000000000001,1.0,0.0,1.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,26.0,5.0,4.0,2.0,4.0,0.0,17.0,5.0,8.0,267.71,3.0,79.54,1.0,2.0,59.0,1.0,14.25,2.6567569067146595,805.8,6.691835572757247,1.0,23.5,3.1570004211501135,1366.65,7.220117768827977,0.0,0.0,,0.0,,1.0,15.25,2.7245795030534206,840.0,6.733401891837359,0.0,0.0,,0.0,,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
